Index,Region,Area,Asaltos,Poblacion,
1347,Wellington Region,Wilton,2,2140,
1348,Wellington Region,Normandale,2,2140,
1349,Manawatu-Wanganui Region,St Johns Hill,2,2230,
1350,Wellington Region,Kingston-Mornington,2,2300,
1351,Wellington Region,Waikanae East,2,2300,
1352,Waikato Region,Matangi,2,2340,
1353,Auckland Region,Turanga,2,2350,
1354,Nelson Region,Tahuna Hills,2,2400,
1355,Canterbury Region,Halswell South,2,2460,
1356,Otago Region,Hawea,2,2480,
1357,Waikato Region,Otaua,2,2520,
1358,Canterbury Region,Beckenham,2,2560,
1359,Waikato Region,Hauraki Plains,2,2610,
1360,Wellington Region,Paremata-Postgate,2,2650,
1361,Wellington Region,Miramar North,2,2650,
1362,Northland Region,Pokere-Waihaha,2,2650,
1363,Wellington Region,Rangoon Heights,2,2660,
1364,Southland Region,Otatara,2,2680,
1365,Auckland Region,Red Beach West,2,2730,
1366,Nelson Region,Atawhai,2,2790,
1367,Bay of Plenty Region,Omokoroa,2,2790,
1368,Hawke's Bay Region,Hospital Hill,2,2810,
1369,Waikato Region,Sylvester,2,2850,
1370,Northland Region,Kapiro,2,2870,
1371,Waikato Region,Cambridge West,2,2880,
1372,Waikato Region,Brymer,2,2930,
1373,Canterbury Region,Leithfield,2,3080,
1374,Taranaki Region,Kaitake,2,3110,
1375,Auckland Region,Otimai,2,3170,
1376,Southland Region,Windsor,2,3190,
1377,Marlborough Region,Marlborough Sounds Terrestrial,2,3300,
1378,Nelson Region,Enner Glynn,2,3380,
1379,Canterbury Region,Russley,2,3400,
1380,Waikato Region,Rototuna,2,3440,
1381,Auckland Region,Kohimarama West,2,3690,
1382,Wellington Region,Melrose-Houghton Bay-Southgate,2,3760,
1383,Wellington Region,Wadestown,2,3830,
1384,Auckland Region,Onehunga North East,2,3920,
1385,Auckland Region,Waikowhai West,2,4000,
1386,Waikato Region,Flagstaff,2,4160,
1387,Auckland Region,Chelsea,2,4230,
1388,Waikato Region,Waikato Western Hills,2,4300,
1389,Auckland Region,Murvale,2,4400,
1390,Marlborough Region,Witherlea,2,5090,
1391,Auckland Region,Cockle Bay,2,5190,
1392,Auckland Region,Torbay,2,5330,
1393,Waikato Region,Tamahere-Tauwhare,2,6110,
1394,Auckland Region,Avondale South,2,6110,
1395,Northland Region,Inlet-Port Whangarei,1,0,
1396,Auckland Region,Tidal-Eastern Bays,1,0,
1397,Auckland Region,Inlet-Manukau Harbour,1,0,
1398,Otago Region,Inland Water-Lake Wakatipu,1,0,
1399,Tasman Region,Oceanic-Tasman Region,1,0,
1400,Auckland Region,Oceanic-Auckland Region East,1,10,
1401,Wellington Region,Ngauranga West,1,10,
1402,Auckland Region,Half Moon Bay Marina,1,10,
1403,Northland Region,Bay of Islands,1,10,
1404,Auckland Region,Tamaki Strait,1,20,
1405,Wellington Region,Ngauranga East,1,40,
1406,Hawke's Bay Region,Taharua,1,60,
1407,West Coast Region,Greymouth Rural,1,80,
1408,Otago Region,Benhar,1,100,
1409,Manawatu-Wanganui Region,Koitiata,1,110,
1410,Southland Region,Milford,1,120,
1411,Southland Region,Balfour Community,1,120,
1412,Waikato Region,Te Rapa North,1,150,
1413,Bay of Plenty Region,Rangitaiki,1,150,
1414,Auckland Region,Inlet-Waitemata Harbour,1,170,
1415,Wellington Region,Kaiwharawhara,1,170,
1416,Auckland Region,Orewa West,1,180,
1417,Manawatu-Wanganui Region,Owhango,1,190,
1418,Waikato Region,Newstead,1,220,
1419,Otago Region,Kaka Point,1,230,
1420,West Coast Region,Taramakau,1,250,
1421,Waikato Region,Kinleith,1,250,
1422,Hawke's Bay Region,Nuhaka,1,250,
1423,Canterbury Region,Winchester,1,260,
1424,West Coast Region,Lake Brunner,1,270,
1425,Canterbury Region,Waiau,1,280,
1426,Northland Region,Western Hills,1,280,
1427,Southland Region,Tisbury,1,290,
1428,West Coast Region,Ross,1,290,
1429,Canterbury Region,Omarama,1,300,
1430,Bay of Plenty Region,Oponae,1,300,
1431,Southland Region,Nightcaps,1,310,
1432,Auckland Region,Matakana,1,310,
1433,West Coast Region,Whataroa,1,320,
1434,Manawatu-Wanganui Region,Rakiraki,1,330,
1435,Southland Region,Makarewa North,1,340,
1436,Hawke's Bay Region,Puketitiri,1,360,
1437,Hawke's Bay Region,Waiohiki,1,360,
1438,Wellington Region,Glenside North,1,370,
1439,West Coast Region,Mawheraiti,1,370,
1440,Northland Region,Awanui,1,370,
1441,Southland Region,Riversdale Community,1,380,
1442,Canterbury Region,Cheviot,1,390,
1443,Canterbury Region,Lake Tekapo,1,400,
1444,Auckland Region,Bremner,1,400,
1445,Waikato Region,Mahoenui,1,410,
1446,Southland Region,Lumsden Community,1,420,
1447,Otago Region,Lawrence,1,440,
1448,Waikato Region,Reporoa,1,450,
1449,Otago Region,Taiaroa-Cape Saunders,1,470,
1450,Otago Region,Jacks Point,1,470,
1451,Waikato Region,Taupiri Community,1,470,
1452,Northland Region,Omapere and Opononi,1,470,
1453,Marlborough Region,Riverlands,1,480,
1454,Hawke's Bay Region,Irongate,1,490,
1455,Wellington Region,Waingawa,1,510,
1456,West Coast Region,Kaniere,1,510,
1457,Manawatu-Wanganui Region,Opiki,1,530,
1458,Manawatu-Wanganui Region,Marybank-Gordon Park,1,530,
1459,Waikato Region,Waharoa,1,530,
1460,Otago Region,Waitati,1,540,
1461,Waikato Region,Ohaupo,1,540,
1462,West Coast Region,Hokitika Valley,1,550,
1463,Bay of Plenty Region,Island View-Pios Beach,1,560,
1464,Manawatu-Wanganui Region,Raurimu,1,560,
1465,Southland Region,Edendale Community,1,570,
1466,Wellington Region,Pencarrow,1,570,
1467,Canterbury Region,Woodend Beach,1,580,
1468,West Coast Region,Haupiri,1,590,
1469,Auckland Region,Buckland,1,590,
1470,Taranaki Region,Okato,1,600,
1471,Wellington Region,Akatarawa,1,610,
1472,Hawke's Bay Region,Tutira,1,610,
1473,Auckland Region,Whangapouri Creek,1,610,
1474,Manawatu-Wanganui Region,Rongotea,1,620,
1475,Canterbury Region,Coldstream,1,620,
1476,Auckland Region,Helensville South,1,620,
1477,Bay of Plenty Region,Owhata South,1,630,
1478,Auckland Region,Eden Road-Hill Top,1,630,
1479,Waikato Region,Pukerimu,1,650,
1480,Canterbury Region,Otipua Creek-Washdyke Flat,1,660,
1481,Tasman Region,Lake Rotoroa,1,660,
1482,Manawatu-Wanganui Region,Bastia Hill,1,670,
1483,Canterbury Region,Sefton,1,680,
1484,Hawke's Bay Region,Eskdale,1,690,
1485,Waikato Region,Broadlands,1,690,
1486,Southland Region,Wallacetown,1,700,
1487,Canterbury Region,Taitapu,1,710,
1488,Southland Region,Charlton,1,710,
1489,West Coast Region,Orowaiti,1,710,
1490,Northland Region,Abbey Caves,1,710,
1491,Wellington Region,Seatoun Tunnel West,1,720,
1492,Hawke's Bay Region,Ruakituri-Morere,1,720,
1493,Southland Region,Mill Road-Woodend,1,730,
1494,Wellington Region,Mitchelltown,1,730,
1495,Tasman Region,Aniseed Hill,1,740,
1496,Taranaki Region,Douglas,1,740,
1497,Waikato Region,Tirau,1,740,
1498,Taranaki Region,Ohawe Beach,1,740,
1499,Waikato Region,Peacocke,1,740,
1500,Hawke's Bay Region,Whakaki,1,740,
1501,Otago Region,Frankton East,1,770,
1502,Waikato Region,Pauanui Beach,1,770,
1503,Wellington Region,Northland North,1,780,
1504,Bay of Plenty Region,Ohauiti-Ngapeke,1,780,
1505,Otago Region,St Leonards-Blanket Bay,1,810,
1506,Taranaki Region,Hawera West,1,810,
1507,Waikato Region,Kaiaua,1,810,
1508,Waikato Region,Horotiu,1,820,
1509,Manawatu-Wanganui Region,Otangiwai-Heao,1,840,
1510,Southland Region,South Gore,1,860,
1511,Southland Region,Greenhills,1,860,
1512,Manawatu-Wanganui Region,Stoney Creek,1,860,
1513,Canterbury Region,Southbrook,1,860,
1514,Waikato Region,Rotongata,1,860,
1515,Otago Region,Corstorphine East,1,870,
1516,Manawatu-Wanganui Region,Kohitere,1,880,
1517,Taranaki Region,Fernleigh,1,890,
1518,Waikato Region,Te Puru-Thornton Bay,1,890,
1519,Auckland Region,Redoubt East,1,940,
1520,Otago Region,Arthurs Point,1,950,
1521,Waikato Region,Buckland South,1,950,
1522,Hawke's Bay Region,Longlands South,1,960,
1523,Southland Region,Wairio,1,1010,
1524,Canterbury Region,Parnassus,1,1030,
1525,Auckland Region,Waipareira West,1,1030,
1526,Manawatu-Wanganui Region,Nireaha-Tiraumea,1,1050,
1527,Hawke's Bay Region,Te Mata Hills,1,1070,
1528,Waikato Region,Mokauiti,1,1070,
1529,Waikato Region,Kaipaki,1,1080,
1530,Northland Region,Three Mile Bush,1,1100,
1531,Canterbury Region,Kaiapoi West,1,1130,
1532,Otago Region,Kelvin Heights,1,1160,
1533,Otago Region,Waikouaiti,1,1160,
1534,Wellington Region,Te Marua,1,1180,
1535,Canterbury Region,Rakaia,1,1190,
1536,Otago Region,Wakatipu Basin,1,1200,
1537,Canterbury Region,Tuahiwi,1,1210,
1538,Auckland Region,Swanson South,1,1210,
1539,Wellington Region,Tirohanga,1,1250,
1540,Otago Region,Ravensbourne,1,1280,
1541,Northland Region,Te Hihi,1,1300,
1542,Northland Region,Pataua-Whareora,1,1300,
1543,Nelson Region,Atmore,1,1320,
1544,Waikato Region,Temple View,1,1330,
1545,Waikato Region,Turua,1,1350,
1546,Manawatu-Wanganui Region,Springvale West,1,1370,
1547,Nelson Region,Clifton,1,1380,
1548,Canterbury Region,Eyrewell,1,1420,
1549,Wellington Region,Ngaumutawa,1,1430,
1550,Auckland Region,Hatfields Beach,1,1440,
1551,Auckland Region,Pigeon Mountain South,1,1450,
1552,Southland Region,Makarewa,1,1470,
1553,Bay of Plenty Region,Tarawera,1,1470,
1554,Taranaki Region,Oakura,1,1500,
1555,Manawatu-Wanganui Region,Awapuni West,1,1520,
1556,Gisborne Region,Tarndale-Rakauroa,1,1540,
1557,Waikato Region,Acacia Bay,1,1550,
1558,West Coast Region,Westport Rural,1,1570,
1559,Wellington Region,Martinborough,1,1580,
1560,Southland Region,Mararoa River,1,1590,
1561,Wellington Region,Crofton Downs,1,1610,
1562,Otago Region,Tuapeka,1,1640,
1563,Waikato Region,Marotiri,1,1690,
1564,Auckland Region,South Waiuku,1,1720,
1565,Manawatu-Wanganui Region,Foxton Beach,1,1730,
1566,Southland Region,Waituna,1,1760,
1567,Wellington Region,Manuka,1,1780,
1568,Bay of Plenty Region,Te Reti,1,1790,
1569,Canterbury Region,Amuri,1,1820,
1570,Otago Region,Roslyn North,1,1870,
1571,Canterbury Region,Mackenzie,1,1890,
1572,Wellington Region,Pukerua Bay,1,1920,
1573,Wellington Region,Waikanae Park,1,1980,
1574,Canterbury Region,Fernside,1,1990,
1575,Otago Region,Lake Hayes South,1,2070,
1576,Hawke's Bay Region,Poraiti,1,2130,
1577,Tasman Region,Mapua,1,2150,
1578,Tasman Region,Wakefield,1,2210,
1579,Auckland Region,Henderson West,1,2360,
1580,Wellington Region,Seatoun,1,2390,
1581,Auckland Region,Hobsonville South,1,2400,
1582,Canterbury Region,Burnside,1,2500,
1583,Waikato Region,Springdale,1,2560,
1584,Bay of Plenty Region,Hamurana,1,2580,
1585,Canterbury Region,Kingsbury,1,2620,
1586,Bay of Plenty Region,Te Puna,1,2660,
1587,Otago Region,Arrowtown,1,2710,
1588,Waikato Region,Chartwell,1,2800,
