Index,Region,Area,Asaltos,Poblacion,
1931,Northland Region,Ohaeawai,0,800,
1932,Tasman Region,Ranzau,0,810,
1933,Canterbury Region,Aviemore,0,820,
1934,Taranaki Region,Tawhiti,0,820,
1935,Otago Region,Forrester Park,0,830,
1936,Wellington Region,Te Horo,0,830,
1937,Taranaki Region,Makakaho,0,830,
1938,Southland Region,Kaiwera,0,860,
1939,Auckland Region,Paremoremo West,0,870,
1940,Auckland Region,Silverdale North,0,890,
1941,Manawatu-Wanganui Region,Kairanga,0,910,
1942,Auckland Region,Stillwater,0,920,
1943,Marlborough Region,Ward,0,930,
1944,Canterbury Region,Governors Bay,0,940,
1945,Manawatu-Wanganui Region,Moutoa,0,940,
1946,Nelson Region,Whangamoa,0,940,
1947,Wellington Region,Vogeltown,0,940,
1948,West Coast Region,Hokitika Rural,0,940,
1949,Taranaki Region,Mangaoraka,0,950,
1950,Auckland Region,Taupaki,0,950,
1951,Northland Region,Bream Bay,0,960,
1952,West Coast Region,Karoro,0,970,
1953,Otago Region,Inner Peninsula,0,1020,
1954,Hawke's Bay Region,Havelock Hills,0,1030,
1955,Taranaki Region,Whenuakura,0,1070,
1956,Otago Region,Helensburgh,0,1090,
1957,Wellington Region,Brooklyn South,0,1090,
1958,Canterbury Region,Halswell West,0,1120,
1959,Hawke's Bay Region,Waimarama,0,1130,
1960,Canterbury Region,Little River,0,1160,
1961,Northland Region,Otaika-Portland,0,1160,
1962,Wellington Region,Vogeltown West,0,1170,
1963,Canterbury Region,Ashley,0,1190,
1964,Wellington Region,Paparangi West,0,1190,
1965,Waikato Region,Gordonton,0,1200,
1966,Otago Region,Macandrew Bay,0,1220,
1967,Auckland Region,Muriwai Beach,0,1220,
1968,Canterbury Region,Ohoka,0,1230,
1969,Manawatu-Wanganui Region,Otamatea,0,1280,
1970,Otago Region,Sawyers Bay,0,1300,
1971,Waikato Region,Ngatea,0,1340,
1972,Hawke's Bay Region,Poukawa,0,1370,
1973,Waikato Region,Te Pahu,0,1380,
1974,Canterbury Region,West Eyreton,0,1410,
1975,Taranaki Region,Kapuni,0,1410,
1976,Wellington Region,Mt Holdsworth,0,1420,
1977,Wellington Region,Adventure,0,1430,
1978,Wellington Region,Woodridge,0,1440,
1979,Northland Region,Maungatapere,0,1460,
1980,Canterbury Region,Burnham Military Camp,0,1490,
1981,Wellington Region,Riverstone Terraces,0,1500,
1982,Wellington Region,Karaka Bay-Worser Bay,0,1530,
1983,Waikato Region,Lakewood,0,1540,
1984,Canterbury Region,Merrin,0,1600,
1985,Canterbury Region,Pegasus,0,1610,
1986,Wellington Region,Kopuaranga,0,1630,
1987,Southland Region,Dacre,0,1650,
1988,Waikato Region,Te Kowhai,0,1670,
1989,Southland Region,Toetoes,0,1690,
1990,Wellington Region,Greenacres,0,1710,
1991,Wellington Region,Mangaroa,0,1750,
1992,Otago Region,Wingatui,0,1780,
1993,Canterbury Region,Ashley Gorge,0,1830,
1994,Manawatu-Wanganui Region,Blueskin,0,1840,
1995,Auckland Region,Herald,0,1860,
1996,Auckland Region,Kumeu West,0,1880,
1997,Otago Region,Maori Hill,0,1970,
1998,Canterbury Region,Westmorland,0,1990,
1999,Auckland Region,Bleakhouse,0,2070,
2000,Canterbury Region,Lehmans,0,2200,
2001,Taranaki Region,Barrett,0,2240,
2002,Auckland Region,Shelly Park,0,2310,
2003,Canterbury Region,Rolleston North West,0,2330,
2004,Canterbury Region,Rolleston South West,0,2330,
2005,Canterbury Region,Loburn,0,2390,
2006,Auckland Region,Stanley Bay,0,2440,
2007,Taranaki Region,Lepperton,0,2510,
2008,Auckland Region,Waima,0,2600,
2009,Auckland Region,Laingholm,0,2620,
2010,Auckland Region,Campbells Bay,0,2630,
2011,Wellington Region,Khandallah Park-Broadmeadows,0,2960,
2012,Southland Region,Hokonui,0,3090,
2013,Canterbury Region,Mandeville,0,3160,
2014,Wellington Region,Awarua,0,3310,
2015,Wellington Region,Churton Park South,0,3440,
2016,Auckland Region,Riverhead,0,3510,
2017,Southland Region,Grasmere,0,3590,
2018,Bay of Plenty Region,Bethlehem East,0,3590,
2019,Wellington Region,Te Kainga,0,4020,
2020,Waikato Region,Horsham Downs,0,5440,
